City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Indore,,,Treebo Omni Palace,"1,805","Scored 6.8
6.8
Review score
125 reviews",[Sanitized] Standard Double or Twin Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/158642812.webp?k=c6f63f0c107b2ac1a256514fb5c75b118f7727b5bf833921c3d8849cc47bcdb0&o=
Indore,,,FabHotel Imperial Regency,"1,821","Scored 6.9
6.9
Review score
299 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/331091423.webp?k=93b10e2cee0a44085bac3c54dc52935af27771f6334560bb2ccc201079d20939&o=
Indore,,,Hotel Shivay,"1,350","Scored 7.5
7.5
Good
2 reviews",Deluxe Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/609872219.webp?k=2f6bcbe1e47ef4fbdaa116ac34ae310f5393ac8893e1a68078ca4d6f7cb8749f&o=
Indore,,,Treebo Daksh Residency,"3,006","Scored 7.6
7.6
Good
108 reviews",Standard Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/74718396.webp?k=19d4c58e01c5877ab9007385e53f58c2dfe9588a05dd61780efa4c0eacfecd94&o=
Indore,,,Super Townhouse Oak ,"2,584","Scored 6.4
6.4
Review score
97 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/639564320.webp?k=fd918518eeff40095ae9b36633ab1e7ac2b6d8b637d1cb307997aa174524dd2e&o=
Indore,,,FabHotel Elite Residency,"1,509","Scored 8.0
8.0
Very good
63 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/448050342.webp?k=94ab8305dbad78ea71ae1a27eca3e5477dd1379773093646ff600b721d8e779d&o=
Indore,,,Collection O Iconic Stay,822,"Scored 7.3
7.3
Good
56 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/638349132.webp?k=4938f28c4e38cb439fa6448036e871a2e976fae917dbff3cdbd241eede542a51&o=
Indore,,,Super Townhouse Prime Stay,829,"Scored 6.7
6.7
Review score
30 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/634818512.webp?k=d17328ade4eeeadd1e06aad8a54cae34277387637d3783b38aa0515d50a4bb34&o=
Indore,,,Home Escape Azure,"6,459","Scored 8.5
8.5
Very good
7 reviews",Three-Bedroom Bungalow,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/565187610.webp?k=a764b80c4bda0b7b39f95ac5c04bd9746bc5a9eaf147cab74acefbbb936a2289&o=
Indore,,,Treebo Cherry Tree,"2,582","Scored 7.2
7.2
Good
129 reviews",[Sanitized] Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/351254568.webp?k=8ae31eb677234ed10d2138ce65a9cd59d473457856bd0ead1d4a50e81747bbbb&o=
Indore,,,Jardin Hotels Teen Imli,"4,200","Scored 7.9
7.9
Good
9 reviews",Superior King Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/630775397.webp?k=b237422783204c6683fa31ebf0d1bb8b97e80a43589860e41067b56b86ce8074&o=
Indore,,,Hotel Posada,"2,440","Scored 5.0
5.0
Review score
1 review",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/488495103.webp?k=c02b30da57d3fe9e52ade4eede2c5e5d5c3fef0609756f66bc4905d4852d3388&o=
Indore,,,Hotel Konark Inn,"1,800","Scored 7.0
7.0
Good
26 reviews",Deluxe Queen Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/282713211.webp?k=5cb8f1b2a8797559ac58dc9349195644f2896f501edb879492773189a6c2b67e&o=
